T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,Year,Month,Day
10.3,17,6,-,89,0,0.5,5.4,14.8,-,-,-,-,1,2009,01,1
11.8,19,5,-,74,0,1,3.7,11.1,-,-,-,-,1,2009,01,2
9.6,14,7,-,94,0,0.3,7.2,13,-,-,-,-,1,2009,01,3
-,-,-,-,-,-,-,-,-,-,o,-,-,1,2009,01,4
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,01,5
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,01,6
13.6,20,7,-,64,0,1.9,5.4,14.8,-,-,-,-,1,2009,01,7
13,18,7,-,62,0,2.1,4.8,13,-,-,-,-,-,2009,01,8
13.8,19,7,-,71,0,1.1,5,11.1,-,-,-,-,1,2009,01,9
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,01,10
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,01,11
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,01,12
12.8,21,5,-,76,0,0.8,4.3,13,-,-,-,-,1,2009,01,13
14.3,23,7,-,65,0,1.4,8.1,14.8,-,-,-,-,1,2009,01,14
15.1,22,7,-,70,0,1.4,5.7,13,-,-,-,-,1,2009,01,15
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,01,16
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,01,17
-,-,-,-,-,-,-,-,-,-,o,-,o,1,2009,01,18
14.8,19,9,-,78,0,1.3,13,22.2,-,-,-,-,1,2009,01,19
13.5,19,7,-,67,0,2.1,15.2,25.9,-,-,-,-,1,2009,01,20
13.9,20,9,-,64,0,1.9,13.7,25.9,-,-,-,-,1,2009,01,21
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,01,22
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,01,23
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,01,24
17.4,24,13,-,74,0,0.8,10,16.5,-,-,-,-,1,2009,01,25
17.9,25,11,-,64,0,2.3,4.8,14.8,-,-,-,-,1,2009,01,26
17,23,11,-,61,0,2.3,9.4,20.6,-,-,-,-,1,2009,01,27
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,01,28
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,01,29
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,01,30
15.3,22,9,-,57,0,2.3,13.5,31.3,44.3,-,-,-,1,2009,01,31
15.2,22,8,-,55,0,2.4,8.1,18.3,-,-,-,-,1,2009,02,1
16.7,28,8,-,55,0,2.3,4.8,14.8,-,-,-,-,-,2009,02,2
18,26,11,-,55,0,1.4,3.7,13,-,-,-,-,1,2009,02,3
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,02,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,02,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,02,6
16.2,22,10,-,61,0,2.1,11.1,20.6,-,-,-,-,1,2009,02,7
15.1,22,8,-,62,0,2.3,7,18.3,-,-,-,-,1,2009,02,8
17.7,25,9,-,62,0,2.1,4.3,13,-,-,-,-,1,2009,02,9
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2009,02,10
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,02,11
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,02,12
17.8,25,11,-,66,0,2.4,8.5,22.2,-,-,-,-,1,2009,02,13
19.5,26,15,-,67,0,2.1,11.1,18.3,-,-,-,-,1,2009,02,14
16.8,21,12,-,70,0,2.4,12.8,22.2,-,-,-,-,1,2009,02,15
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,02,16
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,02,17
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,02,18
17.9,24,12,-,60,0,2.1,11.7,22.2,-,-,-,-,1,2009,02,19
20.4,27,13,-,55,0,2.7,9.8,20.6,-,-,-,-,1,2009,02,20
19.7,28,13,-,56,0,2.9,12.4,22.2,-,-,-,-,1,2009,02,21
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,02,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,02,23
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,02,24
20.9,28,15,-,54,0,3.4,12.6,22.2,-,-,-,-,1,2009,02,25
20.4,27,16,-,43,0,4,13.1,22.2,-,-,-,-,-,2009,02,26
20.2,26,13,-,45,0,3.9,15,24.1,-,-,-,-,-,2009,02,27
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,02,28
20.3,27,12,-,44,0,3.4,13.7,27.8,-,-,-,-,-,2009,03,1
23.8,28,17,-,45,0,3.2,8.9,18.3,-,-,-,-,-,2009,03,2
24.5,31,16,-,55,0,2.9,9.4,16.5,-,-,-,-,1,2009,03,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,03,4
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,03,5
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,03,6
23.6,30,18,-,42,0,4,13.1,22.2,-,-,-,-,-,2009,03,7
21.9,27,17,-,43,0,3.2,8.7,18.3,-,-,-,-,-,2009,03,8
22.4,29,15,-,37,0,3.7,5.7,14.8,-,-,-,-,-,2009,03,9
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,03,10
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,03,11
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,03,12
23.6,31,15,-,44,0,3.1,6.9,18.3,-,-,-,-,-,2009,03,13
24.4,31,17,-,44,0,2.6,5.7,14.8,-,-,-,-,-,2009,03,14
23.8,30,18,-,50,0,2.6,6.3,14.8,-,-,-,-,-,2009,03,15
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,03,16
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,03,17
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,03,18
26.9,32,20,-,42,0,2.3,4.6,13,-,-,-,-,-,2009,03,19
23.5,30,18,-,49,-,2.7,11.3,29.4,-,o,-,-,-,2009,03,20
24.3,29,19,-,49,0,3.2,8.5,16.5,-,-,-,-,-,2009,03,21
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,03,22
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,03,23
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,03,24
23.7,28,17,-,57,0,2.9,8.9,33.5,-,-,-,-,-,2009,03,25
23.7,28,17,-,46,0,3.1,9.3,20.6,-,-,-,-,1,2009,03,26
21.9,27,18,-,63,-,2.7,9.1,18.3,-,o,-,-,-,2009,03,27
-,-,-,-,-,-,-,-,-,-,o,-,o,-,2009,03,28
-,-,-,-,-,-,-,-,-,-,o,-,o,1,2009,03,29
-,-,-,-,-,-,-,-,-,-,-,-,-,1,2009,03,30
25.2,29,17,-,40,0,4.5,18.7,29.4,-,-,-,-,-,2009,03,31
25.8,31,18,-,48,0,2.6,10.2,25.9,37,-,-,-,-,2009,04,1
28.1,33,22,-,40,0,3.2,6.9,18.3,-,-,-,-,-,2009,04,2
28.6,35,21,-,32,0,3.1,7.8,14.8,-,-,-,-,-,2009,04,3
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,04,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,2009,04,5
